feature_set,scheme,method_label,k,mean,std,count
concat_hg,home,k-means,10,0.48919159302494736,0.016591098848283643,16
concat_hg,home,k-means,11,0.5013348878546339,0.019023562566326986,16
concat_hg,home,k-means,12,0.5072655093085545,0.01655288299887412,16
concat_hg,home,k-means,13,0.5152259116230244,0.019104684933331846,16
concat_hg,home,k-means,14,0.5251514819573251,0.018032332874419733,16
concat_hg,home,k-means,15,0.531993998824655,0.01707581821583994,16
concat_hg,home,k-means,16,0.5367994371898412,0.014946892559246215,16
concat_hg,home,k-means,17,0.541905587081709,0.017088272420863446,16
concat_hg,home,k-means,18,0.5469013394919526,0.016093847626230885,16
concat_hg,home,k-means,19,0.5534175229893192,0.015589449697287691,16
concat_hg,home,k-means,20,0.5536209826421657,0.016923906897459828,16
concat_hg,home,k-means,21,0.5562405997280989,0.017695895109229736,16
concat_hg,home,k-means,22,0.5621392675457193,0.016040162952852054,16
concat_hg,home,k-means,23,0.5658869862653193,0.013837739715737207,16
concat_hg,home,k-means,24,0.5674449377983004,0.01495346307433371,16
concat_hg,home,k-means,25,0.5740229557023515,0.014593786916257725,16
concat_hg,home,k-means,26,0.5746767473623192,0.016604413948471147,16
concat_hg,home,k-means,27,0.5776625268231457,0.015116949296358739,16
concat_hg,home,k-means,28,0.5803463646870898,0.015489325687026231,16
concat_hg,home,k-means,29,0.5857988965724001,0.01513032156481081,16
concat_hg,home,k-means,30,0.5889688728873199,0.015895177625189886,16
concat_rawds,home,k-means,5,0.2781267175922021,0.007929359221174603,16
concat_rawds,home,k-means,6,0.29856628103457805,0.008855225882706555,16
concat_rawds,home,k-means,7,0.310005857206634,0.009439127542103258,16
concat_rawds,home,k-means,8,0.32432516281467666,0.0117826375245231,16
concat_rawds,home,k-means,9,0.3337485109241399,0.01061789372088187,16
concat_rawds,home,k-means,10,0.3449859634415429,0.010094209163300059,16
concat_rawds,home,k-means,11,0.35458663487501607,0.011806974242325604,16
concat_rawds,home,k-means,12,0.36090014643493845,0.010605399960498555,16
concat_rawds,home,k-means,13,0.3677155638049328,0.01167473999996192,16
concat_rawds,home,k-means,14,0.37221864666553006,0.010819207147006052,16
concat_rawds,home,k-means,15,0.3810261453293704,0.01098118840927485,16
concat_rawds,home,k-means,16,0.38625681601597767,0.012873261999862329,16
concat_rawds,home,k-means,17,0.39046885864126013,0.011860466186396955,16
concat_rawds,home,k-means,18,0.39612905776414326,0.010283762288871873,16
concat_rawds,home,k-means,19,0.4002638664275355,0.011484613103665758,16
concat_rawds,home,k-means,20,0.40620001838228353,0.010351777473302315,16
concat_rawds,home,k-means,21,0.40890916524586957,0.009300323879331097,16
concat_rawds,home,k-means,22,0.4116483308788891,0.009101072381278205,16
concat_rawds,home,k-means,23,0.41747607411211823,0.009339050316616524,16
concat_rawds,home,k-means,24,0.4205567209744779,0.01123832506973498,16
concat_rawds,home,k-means,25,0.4232159832395036,0.010302522309325119,16
concat_rawds,home,k-means,26,0.43098587728586146,0.0071672039589103466,16
concat_rawds,home,k-means,27,0.4323226339481555,0.009862888721703076,16
concat_rawds,home,k-means,28,0.4371011735704581,0.010402854231911523,16
concat_rawds,home,k-means,29,0.4368279298290336,0.008739295211939063,16
concat_rawds,home,k-means,30,0.44023795305855695,0.010822103509001622,16
